"Cluster","AvgSteps","AvgSedentary","AvgSleep","Count"
"1",5607.46774193548,951.435483870968,267.435483870968,62
"2",11596.4682926829,700.565853658537,400.473170731707,205
"3",5496.93150684931,626.856164383562,510.698630136986,146
